"","Adult_1","Adult_2","Adult_3","Fetal_1","Fetal_2","Fetal_3","Neonatal_1","Neonatal_2","Neonatal_3"
"Tom1l2",-0.682450245678879,-0.975179333187982,-0.994687646923195,0.448382878288982,0.536578919504277,0.120118835720282,0.63156179404326,0.502445471226889,0.413229327006367
"Lrrc48",-0.562832771329374,-1.3251944605313,-0.510334206508285,0.496838330402755,0.530780562422706,-0.373902650965561,0.830393643302314,0.396549208950396,0.517702344256353
"Atpaf2",0.199362591841192,0.116464668620972,0.46605140580352,-0.0056820304413332,-0.0667219108927286,-0.119866727625959,-0.165912891509161,-0.165593728213894,-0.25810137758261
"Alkbh5",-0.058091303566731,-0.19611299072655,-0.129190049885785,-0.0508114444491161,0.034561580987071,0.140953012011676,0.0636799453662054,0.167406195619209,0.0276050546440247
"Llgl1",-0.0207996091941869,-0.227539256255079,-0.212240788194165,0.172184936923584,0.096137234482927,0.204449054671882,-0.0384303596382543,0.0250577650780945,0.00118102212520377
"Flii",0.0487529883093583,-0.0967906156743998,-0.0283788512226586,0.018164722569928,-0.033775990684739,-0.393170060093501,0.162813041748414,0.152983049863469,0.169401715184133
"Smcr8",-0.359286545084016,-0.454594892991957,-0.273979789959061,0.146468334765845,0.235040173556867,0.129230904393318,0.226449112644678,0.235467282057089,0.115205420617239
"Shmt1",-0.028053741099126,-0.114715818284187,-0.0365342695101054,0.288441551984294,0.251294162801723,0.260508481738524,-0.2435734668057,-0.150550997718942,-0.226815903106475
"Dhrs7b",0.304707075539667,0.136384246366951,0.365297298670396,-0.0123170653371014,-0.1433995872816,-0.094339255384452,-0.147613621217448,-0.23569495271796,-0.17302413863845
"Tmem11",0.0935928854559691,0.153968436756939,0.120613831083672,0.00424560158315668,-0.00710298921520547,0.231540737494333,-0.131715008139046,-0.108551314355803,-0.356592180664016
"Kcnj12",-0.458179724687783,-2.13741060906632,-2.13741060906631,1.6436110151524,1.63762411299259,1.74641800567843,0.218389847925252,-0.368707247668934,-0.144334791259321
"Usp22",-0.826905079946091,-1.01557786563376,-0.913499799974185,0.545330693874036,0.551825401598601,0.467817620862224,0.432456851292817,0.425670858944896,0.332881318981459
"Aldh3a1",1.93205166701391,1.3690165787333,0.800420340303267,-1.09576145775381,-1.48631582230453,0.298858134605332,-0.778209202977172,-0.636323050554288,-0.403737187066004
"Aldh3a2",-0.188724418363979,-0.138651558516717,-0.086700375976366,-0.0326937623971899,0.0382238684550833,-0.165126177033025,0.233726653059726,0.171503821060377,0.168441949712093
"Slc47a2",0.516245501129837,0.354066248370622,-0.0384281201252992,0.00873493433818082,-0.402293977257186,-1.63662576901532,0.486256960312636,0.401109636920075,0.310934585326457
"Slc47a1",3.56088148203655,3.29183935799642,3.35947846765661,-3.51032178254501,-3.18401800222869,-2.82178326882724,-0.574217877854952,-0.0294237034667135,-0.092434672766962
"Epn2",0.337890620379561,0.24767528720614,0.0729206373021691,-0.22388590717843,-0.300331575295328,-0.241165978235211,0.0787381235096358,0.0444192632685114,-0.0162604709570431
"Grap",1.34459110351345,1.42994395795143,0.849259742215785,-1.18141671007705,-0.949980704012542,-0.224204446286831,-0.595489343914074,-0.058218645919354,-0.614484953470817
"Prpsap2",-0.210542619810163,-0.440434010040891,-0.286999807997621,0.16531113329173,0.268442448679133,0.330817463748468,0.0728432995128765,0.0965936017907554,0.00396849082571205
"Ulk2",-0.126395661667988,-0.0814981936395931,-0.0676400575709648,-0.148914065102629,-0.0642852661528321,-0.339729173660754,0.230769189142039,0.276196177429614,0.321497051223107
"Akap10",-0.0935881417408737,-0.103791194056636,-0.149793951745758,0.127998758049956,0.155305974365382,-0.174526490477214,0.0756013615820486,0.0435008796734131,0.119292804349684
